410,[1.17204173 0.74789315 0.55890028],[1.14792307 0.79572948 0.50874131],[1.15352564 0.84840053 0.45869382],[1.19109846 0.89641111 0.40865647],[1.23625443 0.94838554 0.35872104],[1.28754516 0.99683345 0.31174304],[1.33601023 1.0484702  0.31035364],[1.3873619  1.09694935 0.35000699],[1.41282914 1.13586977 0.39843309],[1.42186283 1.15889618 0.4470802 ],[1.42358947 1.18240633 0.49212192],[1.46597737 1.22675381 0.53891881],[1.49218718 1.27444122 0.58858393]
420,[1.17204173 0.74789315 0.55890028],[1.14792307 0.79572948 0.50874131],[1.15352564 0.84840053 0.45869382],[1.19109846 0.89641111 0.40865647],[1.23625443 0.94838554 0.35872104],[1.28754516 0.99683345 0.31174304],[1.33601023 1.0484702  0.31035364],[1.3873619  1.09694935 0.35000699],[1.41282914 1.13586977 0.39843309],[1.42186283 1.15889618 0.4470802 ],[1.42358947 1.18240633 0.49212192],[1.46597737 1.22675381 0.53891881],[1.49218718 1.27444122 0.58858393]
430,[1.17204173 0.74789315 0.55890028],[1.14792307 0.79572948 0.50874131],[1.15352564 0.84840053 0.45869382],[1.19109846 0.89641111 0.40865647],[1.23625443 0.94838554 0.35872104],[1.28754516 0.99683345 0.31174304],[1.33601023 1.0484702  0.31035364],[1.3873619  1.09694935 0.35000699],[1.41282914 1.13586977 0.39843309],[1.42186283 1.15889618 0.4470802 ],[1.42358947 1.18240633 0.49212192],[1.46597737 1.22675381 0.53891881],[1.49218718 1.27444122 0.58858393]
440,[1.17204173 0.74789315 0.55890028],[1.14792307 0.79572948 0.50874131],[1.15352564 0.84840053 0.45869382],[1.19109846 0.89641111 0.40865647],[1.23625443 0.94838554 0.35872104],[1.28754516 0.99683345 0.31174304],[1.33601023 1.0484702  0.31035364],[1.3873619  1.09694935 0.35000699],[1.41282914 1.13586977 0.39843309],[1.42186283 1.15889618 0.4470802 ],[1.42358947 1.18240633 0.49212192],[1.46597737 1.22675381 0.53891881],[1.49218718 1.27444122 0.58858393]
450,[1.17204173 0.74789315 0.55890028],[1.14792307 0.79572948 0.50874131],[1.15352564 0.84840053 0.45869382],[1.19109846 0.89641111 0.40865647],[1.23625443 0.94838554 0.35872104],[1.28754516 0.99683345 0.31174304],[1.33601023 1.0484702  0.31035364],[1.3873619  1.09694935 0.35000699],[1.41282914 1.13586977 0.39843309],[1.42186283 1.15889618 0.4470802 ],[1.42358947 1.18240633 0.49212192],[1.46597737 1.22675381 0.53891881],[1.49218718 1.27444122 0.58858393]
460,[1.17204173 0.74789315 0.55890028],[1.14792307 0.79572948 0.50874131],[1.15352564 0.84840053 0.45869382],[1.19109846 0.89641111 0.40865647],[1.23625443 0.94838554 0.35872104],[1.28754516 0.99683345 0.31174304],[1.33601023 1.0484702  0.31035364],[1.3873619  1.09694935 0.35000699],[1.41282914 1.13586977 0.39843309],[1.42186283 1.15889618 0.4470802 ],[1.42358947 1.18240633 0.49212192],[1.46597737 1.22675381 0.53891881],[1.49218718 1.27444122 0.58858393]
470,[1.17204173 0.74789315 0.55890028],[1.14792307 0.79572948 0.50874131],[1.15352564 0.84840053 0.45869382],[1.19109846 0.89641111 0.40865647],[1.23625443 0.94838554 0.35872104],[1.28754516 0.99683345 0.31174304],[1.33601023 1.0484702  0.31035364],[1.3873619  1.09694935 0.35000699],[1.41282914 1.13586977 0.39843309],[1.42186283 1.15889618 0.4470802 ],[1.42358947 1.18240633 0.49212192],[1.46597737 1.22675381 0.53891881],[1.49218718 1.27444122 0.58858393]
480,[1.17204173 0.74789315 0.55890028],[1.14792307 0.79572948 0.50874131],[1.15352564 0.84840053 0.45869382],[1.19109846 0.89641111 0.40865647],[1.23625443 0.94838554 0.35872104],[1.28754516 0.99683345 0.31174304],[1.33601023 1.0484702  0.31035364],[1.3873619  1.09694935 0.35000699],[1.41282914 1.13586977 0.39843309],[1.42186283 1.15889618 0.4470802 ],[1.42358947 1.18240633 0.49212192],[1.46597737 1.22675381 0.53891881],[1.49218718 1.27444122 0.58858393]
490,[1.17204173 0.74789315 0.55890028],[1.14792307 0.79572948 0.50874131],[1.15352564 0.84840053 0.45869382],[1.19109846 0.89641111 0.40865647],[1.23625443 0.94838554 0.35872104],[1.28754516 0.99683345 0.31174304],[1.33601023 1.0484702  0.31035364],[1.3873619  1.09694935 0.35000699],[1.41282914 1.13586977 0.39843309],[1.42186283 1.15889618 0.4470802 ],[1.42358947 1.18240633 0.49212192],[1.46597737 1.22675381 0.53891881],[1.49218718 1.27444122 0.58858393]
500,[1.17204173 0.74789315 0.55890028],[1.14792307 0.79572948 0.50874131],[1.15352564 0.84840053 0.45869382],[1.19109846 0.89641111 0.40865647],[1.23625443 0.94838554 0.35872104],[1.28754516 0.99683345 0.31174304],[1.33601023 1.0484702  0.31035364],[1.3873619  1.09694935 0.35000699],[1.41282914 1.13586977 0.39843309],[1.42186283 1.15889618 0.4470802 ],[1.42358947 1.18240633 0.49212192],[1.46597737 1.22675381 0.53891881],[1.49218718 1.27444122 0.58858393]
510,[1.17204173 0.74789315 0.55890028],[1.14853491 0.79572967 0.5087416 ],[1.15417051 0.84840067 0.4586943 ],[1.19170921 0.89641159 0.40865731],[1.23682186 0.94838629 0.35871583],[1.28814104 0.99683463 0.31155634],[1.33660872 1.0484701  0.30835979],[1.38795565 1.09694677 0.34760982],[1.41291277 1.13559554 0.39606425],[1.42167027 1.15848893 0.44479133],[1.42345283 1.18199165 0.4898985 ],[1.46884755 1.22835837 0.53711379],[1.49397412 1.27585304 0.58710923]
520,[1.17204173 0.74789315 0.55890028],[1.14853491 0.79572967 0.5087416 ],[1.15417051 0.84840067 0.4586943 ],[1.19170921 0.89641159 0.40865731],[1.23682186 0.94838629 0.35871583],[1.28814104 0.99683463 0.31155634],[1.33660872 1.0484701  0.30835979],[1.38795565 1.09694677 0.34760982],[1.41291277 1.13559554 0.39606425],[1.42167027 1.15848893 0.44479133],[1.42345283 1.18199165 0.4898985 ],[1.46884755 1.22835837 0.53711379],[1.49397412 1.27585304 0.58710923]
530,[1.17204173 0.74789315 0.55890028],[1.14853491 0.79572967 0.5087416 ],[1.15417051 0.84840067 0.4586943 ],[1.19170921 0.89641159 0.40865731],[1.23682186 0.94838629 0.35871583],[1.28814104 0.99683463 0.31155634],[1.33660872 1.0484701  0.30835979],[1.38795565 1.09694677 0.34760982],[1.41291277 1.13559554 0.39606425],[1.42167027 1.15848893 0.44479133],[1.42345283 1.18199165 0.4898985 ],[1.46884755 1.22835837 0.53711379],[1.49397412 1.27585304 0.58710923]
540,[1.17204173 0.74789315 0.55890028],[1.14853491 0.79572967 0.5087416 ],[1.15417051 0.84840067 0.4586943 ],[1.19170921 0.89641159 0.40865731],[1.23682186 0.94838629 0.35871583],[1.28814104 0.99683463 0.31155634],[1.33660872 1.0484701  0.30835979],[1.38795565 1.09694677 0.34760982],[1.41291277 1.13559554 0.39606425],[1.42167027 1.15848893 0.44479133],[1.42345283 1.18199165 0.4898985 ],[1.46884755 1.22835837 0.53711379],[1.49397412 1.27585304 0.58710923]
550,[1.17204173 0.74789315 0.55890028],[1.14853491 0.79572967 0.5087416 ],[1.15417051 0.84840067 0.4586943 ],[1.19170921 0.89641159 0.40865731],[1.23682186 0.94838629 0.35871583],[1.28814104 0.99683463 0.31155634],[1.33660872 1.0484701  0.30835979],[1.38795565 1.09694677 0.34760982],[1.41291277 1.13559554 0.39606425],[1.42167027 1.15848893 0.44479133],[1.42345283 1.18199165 0.4898985 ],[1.46884755 1.22835837 0.53711379],[1.49397412 1.27585304 0.58710923]
560,[1.17204173 0.74789315 0.55890028],[1.14853491 0.79572967 0.5087416 ],[1.15417051 0.84840067 0.4586943 ],[1.19170921 0.89641159 0.40865731],[1.23682186 0.94838629 0.35871583],[1.28814104 0.99683463 0.31155634],[1.33660872 1.0484701  0.30835979],[1.38795565 1.09694677 0.34760982],[1.41291277 1.13559554 0.39606425],[1.42167027 1.15848893 0.44479133],[1.42345283 1.18199165 0.4898985 ],[1.46884755 1.22835837 0.53711379],[1.49397412 1.27585304 0.58710923]
